no.;longitude;latitude
2068;-78.317505;16.991215
2069;-78.26936;16.881653
2070;-78.22128;16.772078
2071;-78.17326;16.662483
2072;-78.125305;16.552872
2073;-78.07741;16.443243
2074;-78.02957;16.333595
2075;-77.9818;16.22394
2076;-77.93408;16.114267
2077;-77.88644;16.00458
2078;-77.838844;15.894872
2079;-77.79132;15.785149
2080;-77.74385;15.675409
2081;-77.696434;15.565656
2082;-77.64908;15.455887
2083;-77.60178;15.346105
2084;-77.55454;15.236307
2085;-77.507355;15.126492
2086;-77.46023;15.016664
2087;-77.413155;14.906819
2088;-77.36614;14.796965
2089;-77.31919;14.687098
2090;-77.272285;14.577213
2091;-77.22543;14.46731
2092;-77.178635;14.357396
2093;-77.13189;14.247469
2094;-77.085205;14.13753
2095;-77.038574;14.027579
2096;-76.99199;13.917607
2097;-76.94545;13.80762
2098;-76.898964;13.697622
2099;-76.85253;13.587612
2100;-76.806145;13.477589
2101;-76.7598;13.367555
2102;-76.71352;13.257511
2103;-76.66728;13.147457
2104;-76.621086;13.037383
2105;-76.57495;12.927295
2106;-76.528854;12.817198
2107;-76.48281;12.707087
2108;-76.43681;12.596966
2109;-76.39086;12.486832
2110;-76.34494;12.376696
2111;-76.299065;12.266543
2112;-76.253235;12.156374
2113;-76.20746;12.046187
2114;-76.16172;11.935994
2115;-76.11603;11.825799
2116;-76.070366;11.715593
2117;-76.02476;11.60537
2118;-75.9792;11.495128
2119;-75.933685;11.384877
2120;-75.8882;11.274622
2121;-75.84276;11.164361
2122;-75.79735;11.054085
2123;-75.75199;10.943794
2124;-75.706665;10.833494
2125;-75.66138;10.723186
2126;-75.61613;10.612874
2127;-75.570915;10.50255
2128;-75.52574;10.392212
2129;-75.4806;10.281862
2130;-75.43549;10.171504
2131;-75.390434;10.061139
2132;-75.345406;9.950767
2133;-75.300415;9.840382
2134;-75.255455;9.729984
2135;-75.21053;9.619577
2136;-75.16565;9.509163
2137;-75.1208;9.398738
2138;-75.07597;9.288304
2139;-75.03119;9.177864
2140;-74.986435;9.067411
2141;-74.94172;8.956955
2142;-74.897026;8.846494
2143;-74.85236;8.736023
2144;-74.80773;8.625544
2145;-74.76312;8.515063
2146;-74.71855;8.404569
2147;-74.67401;8.294053
2148;-74.6295;8.183527
2149;-74.585014;8.073004
2150;-74.540565;7.962483
2151;-74.49614;7.8519516
2152;-74.45174;7.741409
2153;-74.40737;7.6308537
2154;-74.36303;7.520294
2155;-74.3187;7.409738
2156;-74.27441;7.2991786
2157;-74.23013;7.188604
2158;-74.18589;7.078013
2159;-74.14167;6.9674187
2160;-74.09747;6.856822
2161;-74.053314;6.746222
2162;-74.00917;6.635615
2163;-73.96504;6.525
2164;-73.92094;6.41438
2165;-73.87686;6.303755
2166;-73.8328;6.19312
2167;-73.788765;6.0824804
2168;-73.74475;5.9718356
2169;-73.70076;5.8611827
2170;-73.65679;5.7505283
2171;-73.61284;5.6398716
2172;-73.5689;5.5292115
2173;-73.52499;5.4185443
2174;-73.481094;5.307872
2175;-73.43722;5.197193
2176;-73.39336;5.0865064
2177;-73.34951;4.9758105
2178;-73.30568;4.8651114
2179;-73.26188;4.754413
2180;-73.21809;4.6437073
2181;-73.17431;4.5330005
2182;-73.13055;4.42229
2183;-73.08679;4.311575
2184;-73.04307;4.2008553
2185;-72.99936;4.0901327
2186;-72.95566;3.9794064
2187;-72.91197;3.8686795
