DATE,IPG3273S
1991-05-01,100.9647
1991-06-01,103.7958
1991-07-01,103.0860
1991-08-01,102.0076
1991-09-01,102.6292
1991-10-01,103.4600
1991-11-01,101.3046
1991-12-01,103.1046
1992-01-01,100.4117
1992-02-01,101.9666
1992-03-01,102.0805
1992-04-01,104.6588
1992-05-01,104.7695
1992-06-01,104.0113
1992-07-01,104.4736
1992-08-01,104.3494
1992-09-01,105.2379
1992-10-01,104.9036
1992-11-01,102.3091
1992-12-01,101.8288
1993-01-01,99.3017
1993-02-01,105.1175
1993-03-01,102.7240
1993-04-01,102.3459
1993-05-01,106.4183
1993-06-01,106.5367
1993-07-01,106.3578
1993-08-01,107.7331
1993-09-01,107.3973
1993-10-01,107.5527
1993-11-01,109.6230
1993-12-01,110.2409
1994-01-01,106.8538
1994-02-01,103.8852
1994-03-01,109.4819
1994-04-01,109.9061
1994-05-01,114.0037
1994-06-01,112.7880
1994-07-01,112.7916
1994-08-01,113.6210
1994-09-01,115.0646
1994-10-01,113.0830
1994-11-01,115.1018
1994-12-01,115.2799
1995-01-01,115.5136
1995-02-01,111.7691
1995-03-01,117.7406
1995-04-01,116.5873
1995-05-01,114.7359
1995-06-01,118.4969
1995-07-01,120.3272
1995-08-01,120.9931
1995-09-01,122.4632
1995-10-01,122.6284
1995-11-01,121.8141
1995-12-01,119.5274
1996-01-01,119.1638
1996-02-01,123.5219
1996-03-01,124.7234
1996-04-01,127.7827
1996-05-01,127.1410
1996-06-01,128.9018
1996-07-01,127.0369
1996-08-01,128.3039
1996-09-01,127.9259
1996-10-01,128.5790
1996-11-01,127.3425
1996-12-01,126.3941
1997-01-01,121.7269
1997-02-01,126.8651
1997-03-01,129.5327
1997-04-01,128.4576
1997-05-01,129.8179
1997-06-01,128.2355
1997-07-01,130.8423
1997-08-01,130.1124
1997-09-01,132.1157
1997-10-01,132.9620
1997-11-01,129.4044
1997-12-01,135.5499
1998-01-01,135.2711
1998-02-01,138.9658
1998-03-01,135.1441
1998-04-01,138.3143
1998-05-01,139.7988
1998-06-01,139.6620
1998-07-01,143.0747
1998-08-01,143.9076
1998-09-01,143.0063
1998-10-01,144.8993
1998-11-01,146.4282
1998-12-01,153.3510
1999-01-01,146.9533
1999-02-01,150.6204
1999-03-01,144.7350
1999-04-01,145.0867
1999-05-01,145.1274
1999-06-01,145.6269
1999-07-01,144.1855
1999-08-01,144.3991
1999-09-01,143.1395
1999-10-01,145.1262
1999-11-01,149.3270
1999-12-01,151.7449
2000-01-01,153.6302
2000-02-01,150.4393
2000-03-01,150.7366
2000-04-01,150.6786
2000-05-01,148.0123
2000-06-01,142.7063
2000-07-01,146.5555
2000-08-01,148.9812
2000-09-01,147.1879
2000-10-01,147.5213
2000-11-01,145.5060
2000-12-01,141.4961
2001-01-01,148.3124
2001-02-01,147.1839
2001-03-01,151.7736
2001-04-01,150.3346
2001-05-01,149.6002
2001-06-01,147.8020
2001-07-01,147.8231
2001-08-01,146.2982
2001-09-01,148.0458
2001-10-01,147.6582
2001-11-01,149.5591
2001-12-01,150.0284
2002-01-01,152.9318
2002-02-01,152.7684
2002-03-01,149.2057
