Country or Territory;Station Name;WMO Station Number;Period;Statistic Description;Unit;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Annual 
RUSSIAN FEDERATION (ASIA);ALEKSANDROVSKOE;23955;1961-1990;Mean Monthly Value;mm;20.8;16.0;15.0;27.7;40.7;81.3;63.1;72.7;53.0;42.2;35.3;23.8;491.6
RUSSIAN FEDERATION (ASIA);ESSEJ;24105;1961-1990;Mean Monthly Value;mm;7.9;5.6;8.5;13.4;16.3;38.5;39.0;51.2;27.2;18.1;12.7;9.7;248.1
RUSSIAN FEDERATION (ASIA);OLENEK;24125;1961-1990;Mean Monthly Value;mm;10.8;8.6;11.6;13.0;22.3;42.6;50.5;39.0;31.3;28.0;18.6;14.5;290.8
RUSSIAN FEDERATION (ASIA);DZARDZAN;24143;1961-1990;Mean Monthly Value;mm;10.7;10.3;13.0;14.4;18.3;33.7;40.6;43.1;40.0;40.1;19.5;14.7;298.4
RUSSIAN FEDERATION (ASIA);VERHOJANSK;24266;1961-1990;Mean Monthly Value;mm;7.0;6.6;4.6;6.9;11.7;25.6;36.0;29.2;15.3;13.7;10.1;10.1;176.8
RUSSIAN FEDERATION (ASIA);SELAGONCY;24329;1961-1990;Mean Monthly Value;mm;9.3;6.7;8.8;12.8;26.9;45.8;57.7;44.1;29.6;22.5;16.0;11.9;292.1
RUSSIAN FEDERATION (ASIA);ZIGANSK;24343;1961-1990;Mean Monthly Value;mm;8.1;8.8;12.5;13.4;20.7;34.0;47.2;41.5;34.9;32.0;17.5;13.7;284.3
RUSSIAN FEDERATION (ASIA);TURA;24507;1961-1990;Mean Monthly Value;mm;17.4;12.8;11.6;16.9;29.6;53.0;62.1;54.3;43.0;30.8;26.3;21.3;379.1
RUSSIAN FEDERATION (ASIA);VILJUJSK;24641;1961-1990;Mean Monthly Value;mm;10.1;7.6;8.3;11.5;20.3;33.5;46.6;37.6;27.2;24.2;18.7;15.3;260.9
RUSSIAN FEDERATION (ASIA);OJMJAKON;24688;1961-1990;Mean Monthly Value;mm;8.7;8.0;5.2;6.5;11.5;31.3;50.5;38.9;21.9;16.7;11.9;10.2;221.3
RUSSIAN FEDERATION (ASIA);SUNTAR;24738;1961-1990;Mean Monthly Value;mm;14.1;8.4;7.5;11.0;19.8;37.2;51.1;41.8;29.8;19.5;18.2;17.9;276.3
RUSSIAN FEDERATION (ASIA);ERBOGACEN;24817;1961-1990;Mean Monthly Value;mm;16.5;10.4;11.1;16.6;31.2;44.3;45.0;51.1;33.7;29.0;25.2;18.8;332.9
RUSSIAN FEDERATION (ASIA);VANAVARA;24908;1961-1990;Mean Monthly Value;mm;21.7;13.0;14.1;25.0;35.9;47.8;57.1;67.4;40.6;34.7;34.5;26.0;417.8
RUSSIAN FEDERATION (ASIA);OLEKMINSK;24944;1961-1990;Mean Monthly Value;mm;16.5;10.3;9.0;11.1;24.1;49.5;52.2;44.5;34.3;21.5;20.2;20.1;313.3
RUSSIAN FEDERATION (ASIA);JAKUTSK;24959;1961-1990;Mean Monthly Value;mm;9.0;7.0;6.2;9.6;18.1;37.0;39.3;36.5;28.7;19.6;15.6;12.3;238.9
RUSSIAN FEDERATION (ASIA);UST-MAJA;24966;1961-1990;Mean Monthly Value;mm;10.5;8.7;7.4;13.5;25.5;38.4;53.8;55.3;35.8;29.2;20.3;13.7;312.1
RUSSIAN FEDERATION (ASIA);CAPE SMIDTA;25173;1961-1990;Mean Monthly Value;mm;30.1;15.2;15.6;13.1;15.8;18.6;36.7;47.3;49.0;42.3;49.6;22.7;356.0
