Country or Territory;Station Name;WMO Station Number;National Station Id Number;Period;Statistic Description;Unit;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Annual
CANADA;FORT SMITH A , NT;71934;2202200;1943-1990;Mean Monthly Value;mm;19.9;14.3;13.9;13.5;29.2;45.3;56.8;49.1;38.5;28.1;25.2;19.2;352.9
CANADA;HAY RIVER A , NT;71935;2202400;1943-1990;Mean Monthly Value;mm;22.2;17.6;16.1;15.3;21.7;35.0;45.3;43.8;37.7;34.2;32.6;20.8;342.3
CANADA;YELLOWKNIFE A , NT;71936;2204100;1942-1990;Mean Monthly Value;mm;14.9;12.6;10.6;10.3;16.6;23.3;35.2;41.7;28.8;34.8;23.9;14.7;267.3
CANADA;LADY FRANKLIN POINT A , NT;71937;2202680;1957-1990;Mean Monthly Value;mm;4.2;4.3;3.7;4.4;4.2;10.2;19.9;23.0;16.5;17.0;7.1;3.9;118.3
CANADA;CAPE YOUNG A , NT;71939;2200690;1957-1990;Mean Monthly Value;mm;4.4;5.3;4.3;8.5;7.9;15.5;33.2;31.4;25.5;20.6;12.3;6.5;175.5
CANADA;GRANDE PRAIRIE A , AB;71940;3072920;1942-1990;Mean Monthly Value;mm;32.7;20.5;18.6;19.8;35.3;74.2;67.9;61.8;42.2;21.7;28.6;26.9;450.2
CANADA;FORT ST JOHN A , BC;71943;1183000;1942-1990;Mean Monthly Value;mm;30.8;23.5;24.1;20.8;40.9;67.0;73.7;57.5;43.9;27.1;28.8;29.4;467.5
CANADA;MACKENZIE A , BC;71944;1184790;1971-1990;Mean Monthly Value;mm;65.7;53.4;42.6;22.8;43.7;61.8;63.6;51.0;49.4;62.3;65.1;69.7;653.5
CANADA;FORT NELSON A , BC;71945;1192940;1937-1990;Mean Monthly Value;mm;21.8;16.2;17.2;20.2;47.7;64.3;83.7;63.3;43.1;30.8;21.5;18.7;448.5
CANADA;FORT SIMPSON A , NT;71946;2202101;1963-1990;Mean Monthly Value;mm;19.6;17.8;17.6;16.4;29.8;44.3;53.3;50.7;30.2;36.1;25.7;18.9;360.5
CANADA;CAPE PARRY A , NT;71948;2200675;1957-1990;Mean Monthly Value;mm;7.0;6.1;6.0;8.3;9.9;14.3;19.2;27.4;23.4;21.7;9.9;7.2;160.3
CANADA;SMITHERS A , BC;71950;1077500;1942-1990;Mean Monthly Value;mm;57.8;29.3;22.3;18.0;33.5;42.2;45.7;42.1;53.7;62.3;54.5;48.0;509.5
CANADA;TERRACE A , BC;71951;1068130;1953-1990;Mean Monthly Value;mm;172.1;124.6;80.0;68.6;49.9;44.1;52.4;58.3;101.7;200.8;175.5;167.3;1295.3
CANADA;BURNS LAKE , BC;71952;1091169;1969-1990;Mean Monthly Value;mm;41.1;26.1;25.4;16.9;35.1;48.0;42.6;41.6;44.0;43.3;48.6;43.2;455.9
CANADA;WATSON LAKE A , YT;71953;2101200;1938-1990;Mean Monthly Value;mm;30.0;21.9;17.2;14.3;37.5;54.1;60.1;44.3;45.1;34.1;26.1;29.1;413.8
CANADA;NICHOLSON PENINSULA , NT;71956;2202750;1957-1990;Mean Monthly Value;mm;3.9;3.0;3.8;3.5;4.0;8.8;19.9;27.4;15.4;12.6;4.5;5.0;111.9
CANADA;INUVIK A , NT;71957;2202570;1957-1990;Mean Monthly Value;mm;15.6;11.1;10.8;12.6;19.1;22.2;34.1;43.9;24.2;29.6;17.5;16.8;257.4
CANADA;DEASE LAKE , BC;71958;1192340;1944-1990;Mean Monthly Value;mm;29.8;23.3;19.7;13.6;30.2;42.9;60.7;52.9;50.0;35.6;30.9;32.1;421.6
CANADA;TUKTOYAKTUK , NT;71959;2203910;1957-1990;Mean Monthly Value;mm;5.9;5.8;4.4;6.4;6.2;11.6;20.5;29.0;16.3;18.2;9.2;8.6;142.1
CANADA;WHITEHORSE A , YT;71964;2101300;1942-1990;Mean Monthly Value;mm;16.9;11.9;12.1;8.3;14.4;31.2;38.5;39.3;35.2;23.0;18.9;18.9;268.8
CANADA;MAYO A , YT;71965;2100700;1925-1990;Mean Monthly Value;mm;19.0;15.8;9.1;8.4;21.9;40.1;54.5;42.6;34.6;29.7;21.6;21.0;318.4
CANADA;BURWASH A , YT;71967;2100182;1966-1990;Mean Monthly Value;mm;12.6;7.8;9.9;11.4;26.9;48.4;65.5;42.3;26.1;16.2;12.5;10.3;290.0
CANADA;SHINGLE POINT A , YT;71968;2100950;1957-1990;Mean Monthly Value;mm;6.0;6.0;7.1;8.9;11.6;23.3;34.5;51.8;31.8;28.6;13.3;8.1;231.0
CANADA;KOMAKUK BEACH A , YT;71969;2100685;1958-1990;Mean Monthly Value;mm;5.3;4.1;2.9;4.2;4.4;15.5;29.6;36.0;19.7;18.7;8.3;5.4;154.0
