Country or Territory;Station Name;WMO Station Number;Period;Statistic Description;Unit;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Annual
BRAZIL;Sete Lagoas;83586;1961-1990;Mean Monthly Value;mm;289.0;161.2;132.6;52.8;26.1;10.3;14.5;10.1;32.9;115.7;217.2;266.3;1328.7
BRAZIL;Belo Horizonte;83587;1961-1990;Mean Monthly Value;mm;296.3;188.4;163.5;61.2;27.8;14.1;15.7;13.7;40.5;123.1;227.6;319.4;1491.3
BRAZIL;C. Mato Dentro;83589;1961-1990;Mean Monthly Value;mm;281.1;174.3;173.0;88.5;34.6;15.3;11.9;18.0;44.4;147.3;257.0;275.9;1521.3
BRAZIL;Caratinga;83592;1961-1990;Mean Monthly Value;mm;182.0;101.8;150.2;78.7;33.6;12.8;14.0;22.0;79.5;119.5;188.4;210.0;1192.5
BRAZIL;Aimores;83595;1961-1990;Mean Monthly Value;mm;195.3;89.5;135.6;60.6;44.8;18.5;17.9;25.6;38.9;125.0;198.9;212.0;1162.6
BRAZIL;Linhares;83597;1961-1990;Mean Monthly Value;mm;159.2;89.5;111.2;79.7;48.1;34.9;54.5;53.9;65.6;125.8;188.5;189.7;1200.7
BRAZIL;Campo Grande;83611;1961-1990;Mean Monthly Value;mm;243.3;187.1;145.4;101.2;111.4;44.8;45.7;39.7;81.1;130.0;110.0;229.3;1469.0
BRAZIL;Tres Lagoas;83618;1961-1990;Mean Monthly Value;mm;215.5;165.9;142.0;83.4;70.1;32.3;29.8;35.9;65.3;127.9;135.3;200.5;1303.9
BRAZIL;Franca;83630;1961-1990;Mean Monthly Value;mm;297.1;227.7;180.4;79.5;57.4;26.7;21.9;23.4;71.7;160.6;201.2;275.8;1623.3
BRAZIL;Ibirite;83632;1961-1990;Mean Monthly Value;mm;290.5;167.4;170.3;67.9;32.3;16.6;14.7;11.5;43.7;136.2;227.4;301.9;1480.4
BRAZIL;Caparao;83639;1961-1990;Mean Monthly Value;mm;238.0;142.5;139.0;78.0;49.7;16.5;31.7;28.8;52.0;129.4;202.6;231.5;1339.7
BRAZIL;Vicosa;83642;1961-1990;Mean Monthly Value;mm;196.9;148.8;120.6;49.9;30.2;19.1;23.7;18.6;53.5;110.4;204.8;244.9;1221.4
BRAZIL;C. Itapemirim;83646;1961-1990;Mean Monthly Value;mm;139.7;82.5;92.9;93.9;55.6;23.6;41.2;39.9;52.4;102.8;171.6;166.6;1062.7
BRAZIL;Vitoria;83648;1961-1990;Mean Monthly Value;mm;143.0;82.4;111.1;89.3;80.7;65.1;78.4;55.0;78.3;126.6;170.5;195.2;1275.7
BRAZIL;Dourados;83659;1961-1990;Mean Monthly Value;mm;135.9;127.1;136.5;109.1;113.5;73.0;51.5;51.3;106.0;159.4;164.0;178.8;1406.1
BRAZIL;Sao Simao;83669;1961-1990;Mean Monthly Value;mm;245.5;172.6;155.4;84.3;77.1;31.1;27.6;28.2;69.3;127.9;182.9;264.5;1466.3
BRAZIL;Catanduva;83676;1961-1990;Mean Monthly Value;mm;246.6;205.9;165.4;67.9;53.2;22.9;22.7;27.0;57.2;113.8;133.7;221.9;1338.3
BRAZIL;Machado;83683;1961-1990;Mean Monthly Value;mm;274.4;196.3;183.0;78.9;56.9;35.1;31.7;31.5;74.3;144.7;188.2;297.7;1592.7
BRAZIL;Lavras;83687;1961-1990;Mean Monthly Value;mm;272.4;192.3;174.0;67.0;40.6;27.9;23.4;24.8;72.5;126.0;213.0;295.8;1529.7
BRAZIL;Barbacena;83689;1961-1990;Mean Monthly Value;mm;263.9;187.0;141.7;66.7;38.8;23.8;20.9;23.0;63.9;124.5;220.0;261.9;1436.1
BRAZIL;Juiz de Fora;83692;1961-1990;Mean Monthly Value;mm;299.8;217.4;198.3;107.1;65.4;34.2;27.5;16.5;49.9;112.4;191.0;327.1;1646.6
BRAZIL;Itaperuna;83695;1961-1990;Mean Monthly Value;mm;188.4;96.9;103.6;90.5;44.6;23.9;30.8;29.8;56.2;109.4;195.2;206.9;1176.2
BRAZIL;Ponta Pora;83702;1961-1990;Mean Monthly Value;mm;172.6;169.5;166.4;124.6;135.0;85.4;55.3;68.7;104.8;175.3;212.2;191.3;1661.1
BRAZIL;Ivinhema;83704;1961-1990;Mean Monthly Value;mm;177.2;166.2;138.0;102.4;102.1;71.9;23.2;85.6;113.1;266.6;152.8;213.4;1612.5
BRAZIL;Campos do Jordao;83714;1961-1990;Mean Monthly Value;mm;321.6;237.9;176.1;106.3;74.0;49.9;37.6;75.7;79.2;150.8;194.5;279.5;1783.0
BRAZIL;Cordeiro;83718;1961-1990;Mean Monthly Value;mm;211.9;139.0;155.5;77.9;42.1;30.8;24.6;21.1;63.6;116.7;173.3;253.3;1309.7
BRAZIL;CABO FRIO (CAPE);83719;1961-1990;Mean Monthly Value;mm;78.1;44.1;52.8;78.3;69.1;43.9;44.7;36.1;61.0;80.7;81.0;101.1;770.9
BRAZIL;Sao Carlos;83726;1961-1990;Mean Monthly Value;mm;248.7;191.4;167.3;73.2;61.6;40.4;30.8;30.9;65.0;157.8;160.8;267.2;1495.1
BRAZIL;Sao Lourenco;83736;1961-1990;Mean Monthly Value;mm;278.1;231.5;169.8;71.0;57.4;34.5;24.7;32.3;75.0;131.3;185.1;278.2;1568.9
BRAZIL;Ecol. Agricula;83741;1961-1990;Mean Monthly Value;mm;195.1;144.9;149.7;109.2;56.4;37.9;30.7;42.1;62.3;93.6;118.1;184.9;1224.9
BRAZIL;Vassouras;83742;1961-1990;Mean Monthly Value;mm;232.4;170.4;146.7;72.4;40.5;27.7;21.6;30.4;57.8;104.6;153.6;225.7;1283.8
BRAZIL;Rio de Janeiro;83743;1961-1990;Mean Monthly Value;mm;114.1;105.3;103.3;137.4;85.6;80.4;56.4;50.5;87.1;88.2;95.6;169.0;1172.9
BRAZIL;Nova Friburgo;83745;1961-1990;Mean Monthly Value;mm;208.6;167.2;151.0;72.3;45.6;26.6;19.7;22.9;41.3;83.4;169.2;238.7;1246.3
BRAZIL;Pirai;83757;1961-1990;Mean Monthly Value;mm;222.7;173.4;148.5;100.7;52.8;31.6;28.8;37.3;57.7;99.7;152.8;216.2;1322.2
BRAZIL;IIha Guaiba;83758;1961-1990;Mean Monthly Value;mm;211.6;140.1;162.1;168.3;113.5;68.7;69.0;62.9;111.7;112.2;134.2;222.0;1576.2
BRAZIL;Londrina;83766;1961-1990;Mean Monthly Value;mm;216.4;176.8;138.3;114.6;107.4;94.0;68.9;62.8;99.7;156.3;155.4;232.0;1622.8
BRAZIL;Maringa;83767;1961-1990;Mean Monthly Value;mm;151.3;135.8;111.2;95.8;89.7;76.2;48.5;38.3;77.3;123.5;91.0;154.7;1193.2
BRAZIL;Jacarezinho;83769;1961-1990;Mean Monthly Value;mm;180.2;176.5;135.4;72.1;82.1;66.9;47.2;48.2;70.6;131.5;140.2;193.0;1344.0
BRAZIL;Itapeva;83774;1961-1990;Mean Monthly Value;mm;160.2;146.0;91.9;61.8;95.6;73.9;58.1;51.2;88.8;116.2;120.8;167.8;1232.2
BRAZIL;Guaira;83775;1961-1990;Mean Monthly Value;mm;175.5;147.5;124.7;129.8;169.2;109.6;71.9;78.9;119.0;175.6;153.9;189.5;1645.0
BRAZIL;Sao Paulo;83781;1961-1990;Mean Monthly Value;mm;238.7;217.4;159.8;75.8;73.6;55.7;44.1;38.9;80.5;123.6;145.8;200.9;1454.8
BRAZIL;Santos;83782;1961-1990;Mean Monthly Value;mm;278.7;220.1;242.8;195.4;171.3;99.9;112.4;70.7;128.7;162.9;162.6;235.3;2080.8
BRAZIL;Campo Mourao;83783;1961-1990;Mean Monthly Value;mm;175.2;164.8;119.9;97.3;123.9;123.5;82.6;84.4;138.1;161.7;136.5;195.9;1603.8
BRAZIL;Ubatuba;83786;1961-1990;Mean Monthly Value;mm;365.8;301.5;314.5;244.4;125.1;84.4;106.1;91.0;170.4;222.2;258.6;360.5;2644.5
BRAZIL;Angra dos Reis;83788;1961-1990;Mean Monthly Value;mm;276.4;240.2;237.1;189.5;109.0;78.3;76.2;78.2;116.0;144.1;166.6;265.0;1976.7
BRAZIL;Castro;83813;1961-1990;Mean Monthly Value;mm;192.8;156.2;141.8;110.7;124.6;127.2;89.8;84.1;126.4;145.6;115.8;158.4;1573.4
BRAZIL;Foz do lguacu;83826;1961-1990;Mean Monthly Value;mm;188.3;191.2;184.4;146.3;135.5;137.4;90.2;110.6;142.2;231.9;150.0;171.5;1879.5
BRAZIL;Curitiba;83842;1961-1990;Mean Monthly Value;mm;165.0;142.1;126.6;90.0;99.2;98.1;89.0;74.5;115.4;134.2;123.8;150.1;1407.9
BRAZIL;Paranagua;83844;1961-1990;Mean Monthly Value;mm;284.9;251.5;279.8;146.3;117.0;103.0;92.0;76.9;115.1;143.7;141.5;180.5;1932.2
BRAZIL;Porto Uniao;83864;1961-1990;Mean Monthly Value;mm;140.6;157.3;132.0;108.3;141.9;121.2;127.7;114.4;152.3;168.6;139.2;174.5;1678.1
BRAZIL;Rio Negro;83867;1961-1990;Mean Monthly Value;mm;153.0;170.7;148.1;67.4;97.3;92.7;79.6;87.6;117.9;144.6;107.3;153.5;1420.0
BRAZIL;Indaial;83872;1961-1990;Mean Monthly Value;mm;170.0;194.6;151.9;108.2;106.7;104.0;104.4;131.3;122.1;165.8;135.6;173.0;1667.5
BRAZIL;Irai;83881;1961-1990;Mean Monthly Value;mm;154.9;159.3;129.6;145.1;161.7;148.7;121.7;147.8;159.8;175.4;162.3;143.7;1810.0
BRAZIL;Chapeco;83883;1961-1990;Mean Monthly Value;mm;162.6;173.7;116.5;167.0;188.9;146.2;153.9;149.2;163.3;192.0;182.6;157.7;1953.7
BRAZIL;Florianopolis;83897;1961-1990;Mean Monthly Value;mm;176.2;197.7;186.3;96.6;96.9;75.2;94.6;92.5;126.8;126.0;129.1;146.2;1543.9
BRAZIL;Sao L. Gonzaga;83907;1961-1990;Mean Monthly Value;mm;156.5;149.3;154.1;179.9;145.8;169.0;163.0;149.2;174.6;197.7;154.0;178.9;1972.0
BRAZIL;Passo Fundo;83914;1961-1990;Mean Monthly Value;mm;143.4;148.3;121.3;118.2;131.3;129.4;153.4;165.7;206.8;167.1;141.4;161.5;1787.8
BRAZIL;Bom Jesus;83919;1961-1990;Mean Monthly Value;mm;171.0;169.5;139.4;113.0;129.3;131.2;143.2;164.4;166.2;144.3;125.1;130.0;1726.7
BRAZIL;Sao Joaquim;83920;1961-1990;Mean Monthly Value;mm;167.4;160.6;132.5;105.5;111.1;120.3;139.0;170.4;169.2;152.9;133.8;130.4;1692.9
BRAZIL;Santa Maria;83936;1961-1990;Mean Monthly Value;mm;145.1;130.2;151.7;134.7;129.1;144.0;148.6;137.4;153.6;145.9;132.2;133.5;1686.1
BRAZIL;Caxias do Sul;83942;1961-1990;Mean Monthly Value;mm;145.7;151.6;205.1;132.5;109.3;153.3;153.6;177.7;204.1;172.8;140.1;169.3;1915.1
BRAZIL;Torres;83948;1961-1990;Mean Monthly Value;mm;117.5;137.5;141.6;96.4;88.5;98.2;100.1;138.9;136.2;123.6;106.3;102.2;1386.9
BRAZIL;Encruz. do Sul;83964;1961-1990;Mean Monthly Value;mm;117.8;137.4;128.2;97.2;112.6;148.8;157.2;151.2;141.1;127.2;122.3;100.8;1541.8
BRAZIL;Porto Alegre;83967;1961-1990;Mean Monthly Value;mm;100.1;108.6;104.4;86.1;94.6;132.7;121.7;140.0;139.5;114.3;104.2;101.2;1347.4
BRAZIL;Bage;83980;1961-1990;Mean Monthly Value;mm;115.0;132.9;123.6;103.1;103.3;126.3;140.9;123.2;149.2;130.7;112.0;105.4;1465.6
BRAZIL;Sta. Vit. Palmar;83997;1961-1990;Mean Monthly Value;mm;105.4;120.4;95.6;74.0;93.2;102.1;120.9;107.5;105.6;87.1;95.8;83.4;1190.9
;;;;;;;;;;;;;;;;;;
