Country or Territory;Station Name;WMO Station Number;Period;Statistic Description;Unit;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Annual
NETHERLANDS;DE KOOY;6235;1961-1990;Mean Monthly Value;mm;64.9;40.3;51.3;42.6;43.5;48.8;64.7;65.5;83.6;84.7;91.0;76.6;757.3
NETHERLANDS;DE BILT;6260;1961-1990;Mean Monthly Value;mm;68.8;49.0;65.5;52.5;60.9;70.0;75.7;71.1;67.0;74.9;81.0;83.4;819.8
NETHERLANDS;EELDE;6280;1961-1990;Mean Monthly Value;mm;66.6;45.2;57.5;48.2;57.8;68.8;76.3;66.4;70.6;68.7;77.1;75.5;778.6
NETHERLANDS;VLISSINGEN;6310;1961-1990;Mean Monthly Value;mm;61.8;44.3;56.9;46.4;48.8;61.8;68.0;68.0;62.0;79.6;75.0;72.7;745.2
NETHERLANDS;MAASTRICHT;6380;1961-1990;Mean Monthly Value;mm;58.9;53.2;62.2;52.6;62.2;74.1;70.6;66.4;56.6;60.5;69.4;72.8;759.4
