Country or Territory;Station Name;WMO Station Number;Period;Statistic Description;Unit;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Annual
LATVIA;BALTIC VBS;26000;1961-1990;Mean Monthly Value;mm;46.0;33.0;38.0;46.0;52.0;64.0;85.0;90.0;79.0;68.0;69.0;59.0;729.0
LATVIA;AINAZI;26229;1961-1990;Mean Monthly Value;mm;37.0;25.0;30.0;35.0;43.0;54.0;65.0;76.0;80.0;70.0;71.0;55.0;641.0
LATVIA;LIEPAJA;26406;1961-1990;Mean Monthly Value;mm;46.0;31.0;36.0;35.0;40.0;46.0;74.0;80.0;78.0;74.0;83.0;67.0;690.0
LATVIA;RIGA;26422;1961-1990;Mean Monthly Value;mm;33.0;25.0;31.0;39.0;43.0;61.0;79.0;79.0;76.0;60.0;61.0;49.0;636.0
LATVIA;DAUGAVPILS;26544;1961-1990;Mean Monthly Value;mm;36.0;27.0;34.0;40.0;51.0;73.0;83.0;74.0;66.0;52.0;52.0;46.0;634.0
