Country or Territory;Station Name;WMO Station Number;Period;Statistic Description;Unit;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Annual
CROATIA;ZAGREB;13129;1961-1990;Mean Monthly Value;mm;52.9;46.6;58.1;64.6;82.9;100.8;87.4;91.4;81.2;69.5;84.8;62.4;882.8
CROATIA;SPLIT;13334;1961-1990;Mean Monthly Value;mm;82.7;68.1;75.3;65.5;56.3;50.8;28.3;50.2;60.6;78.7;108.4;99.6;824.6
